Demand Date-Time,Demand Confirmation Date-Time,Origin Station,Commodity,Wagon Units,Destination Station
28-01-2023 15:22,29-01-2023 04:41,J,CEMT,42,U
15-08-2023 20:14,16-08-2023 08:58,C,CEMT,31,Q
02-05-2023 03:30,02-05-2023 14:19,D,CEMT,27,P
08-02-2023 14:48,09-02-2023 03:52,J,CEMT,29,S
24-05-2023 09:05,24-05-2023 20:14,E,CEMT,27,Z
01-05-2023 03:17,01-05-2023 13:14,I,CEMT,24,S
20-11-2022 03:12,20-11-2022 10:54,B,CEMT,42,T
12-03-2023 16:50,13-03-2023 00:42,I,CEMT,27,R
10-01-2023 13:37,10-01-2023 19:27,I,CEMT,24,P
23-11-2022 08:01,23-11-2022 14:03,M,CEMT,21,P
11-03-2023 12:13,11-03-2023 18:44,N,CEMT,31,Z
24-01-2023 20:25,25-01-2023 10:04,L,CEMT,42,U
03-07-2023 21:54,04-07-2023 07:26,H,CEMT,42,Z
15-10-2022 22:43,16-10-2022 06:04,A,CEMT,42,U
09-07-2023 04:22,09-07-2023 15:31,I,CEMT,58,Q
26-10-2022 20:12,27-10-2022 01:47,H,CEMT,31,S
27-03-2023 11:07,27-03-2023 20:33,G,CEMT,27,Y
29-01-2023 03:07,29-01-2023 13:51,D,CEMT,58,U
08-05-2023 21:20,09-05-2023 09:18,L,CEMT,31,U
16-02-2023 09:22,16-02-2023 18:10,E,CEMT,58,T
15-02-2023 11:39,15-02-2023 19:10,N,CEMT,58,Q
26-08-2023 09:11,26-08-2023 18:20,N,CEMT,21,T
13-08-2023 01:08,13-08-2023 11:35,H,CEMT,27,P
25-12-2022 02:09,25-12-2022 15:47,M,CEMT,27,Y
13-06-2023 14:06,14-06-2023 00:31,I,CEMT,24,S
27-10-2022 06:08,27-10-2022 20:06,F,CEMT,31,T
22-04-2023 09:11,22-04-2023 16:59,E,CEMT,31,Y
21-02-2023 16:16,21-02-2023 22:44,I,CEMT,27,Q
31-10-2022 21:10,01-11-2022 04:46,E,CEMT,22,Y
03-12-2022 10:17,03-12-2022 18:17,D,CEMT,42,R
02-01-2023 14:25,03-01-2023 03:53,O,CEMT,21,X
23-10-2022 16:20,24-10-2022 03:28,A,CEMT,29,P
07-06-2023 14:38,08-06-2023 01:44,I,CEMT,27,P
28-11-2022 13:32,28-11-2022 19:10,K,CEMT,27,W
29-11-2022 20:08,30-11-2022 06:23,C,CEMT,24,U
12-02-2023 22:38,13-02-2023 12:15,I,CEMT,58,W
11-12-2022 00:14,11-12-2022 14:24,K,CEMT,24,V
18-02-2023 08:22,18-02-2023 20:37,M,CEMT,27,Y
05-04-2023 06:55,05-04-2023 15:37,J,CEMT,29,U
